prev_comm,prio,timeslice
kworker/u97:17,120,15169
kworker/2:1,120,23154
kworker/u96:2,120,27212
VizCompositorTh,120,37352
kworker/15:1,120,41750
ThreadPoolServi,120,96715
kworker/2:1,120,165687
kworker/u97:17,120,34636
ksoftirqd/2,120,14127
kworker/u97:0,120,8316
fish,120,249808
kworker/2:1,120,18796
VizCompositorTh,120,139548
chromium,120,231494
cosmic-panel,120,213409
VizCompositorTh,120,149807
WebRTC_W_and_N,120,173773
VizCompositorTh,120,147753
WebRTC_W_and_N,120,149416
WebRTC_W_and_N,120,150307
chromium,120,893400
VizCompositorTh,120,130920
WebRTC_W_and_N,120,158825
cosmic-panel,120,73510
VizCompositorTh,120,143194
kworker/u97:0,120,17674
VizCompositorTh,120,147102
notify-rs debou,120,67338
VizCompositorTh,120,145228
cosmic-comp,120,301297
cosmic-notifica,120,43954
smithay-clipboa,120,65125
cosmic-app-libr,120,42892
smithay-clipboa,120,42191
Xwayland,120,84642
cosmic-comp,120,1796750
smithay-clipboa,120,26451
cosmic-osd,120,39025
tokio-runtime-w,120,61137
cosmic-comp,120,28184
cosmic-notifica,120,113257
cosmic-app-libr,120,76646
cosmic-osd,120,61588
cosmic-notifica,120,39376
smithay-clipboa,120,29817
cosmic-greeter,120,39075
smithay-clipboa,120,33374
cosmic-osd,120,42962
cosmic-greeter,120,23546
cosmic-comp,120,49685
smithay-clipboa,120,32222
cosmic-app-libr,120,72910
smithay-clipboa,120,43994
xdg-desktop-por,120,27293
xdg-desktop-por,120,33434
cosmic-greeter,120,8356
cosmic-greeter,120,19367
smithay-clipboa,120,71547
cosmic-comp,120,34005
xdg-desktop-por,120,19948
cosmic-panel,120,261010
smithay-clipboa,120,65034
cosmic-greeter,120,47882
xdg-desktop-por,120,41510
xdg-desktop-por,120,46139
tokio-runtime-w,120,76286
cosmic-files-ap,120,74834
cosmic-workspac,120,68882
cosmic-launcher,120,70966
smithay-clipboa,120,68351
cosmic-launcher,120,73952
smithay-clipboa,120,117034
cosmic-launcher,120,29987
cosmic-files-ap,120,129719
cosmic-workspac,120,137824
smithay-clipboa,120,23174
smithay-clipboa,120,11202
cosmic-files-ap,120,43663
smithay-clipboa,120,30559
cosmic-toplevel,120,144717
cosmic-launcher,120,58222
cosmic-workspac,120,12273
cosmic-workspac,120,54204
tokio-runtime-w,120,68912
cosmic-toplevel,120,70725
VizCompositorTh,120,141091
VizCompositorTh,120,109379
WebRTC_W_and_N,120,136522
WebRTC_W_and_N,120,136201
chromium,120,200895
kworker/15:1,120,23515
kworker/12:2,120,33434
kworker/14:0,120,29176
WebRTC_W_and_N,120,134136
chromium,120,1664688
VizCompositorTh,120,150297
cosmic-panel,120,82338
systemd-journal,120,213739
journalctl,120,401168
kworker/u97:0,120,25709
PTY reader,120,161489
WebRTC_W_and_N,120,173783
alacritty,120,1006427
alacritty:cs0,120,236533
kworker/u96:2,120,92186
alacritty,120,165957
VizCompositorTh,120,131372
cosmic-comp,120,268685
alacritty,120,50878
smithay-clipboa,120,90683
alacritty,120,17043
kworker/u96:2,120,12133
cosmic-comp,120,302359
smithay-clipboa,120,27232
alacritty,120,64804
smithay-clipboa,120,18405
WebRTC_W_and_N,120,155357
kworker/3:0,120,63101
VizCompositorTh,120,148153
notify-rs poll ,120,121934
chromium,120,156129
kworker/2:1,120,26912
chromium,120,126843
VizCompositorTh,120,141802
VizCompositorTh,120,143314
VizCompositorTh,120,144086
WebRTC_W_and_N,120,167190
kworker/u97:0,120,32643
VizCompositorTh,120,146100
WebRTC_W_and_N,120,148544
WebRTC_W_and_N,120,149476
VizCompositorTh,120,149527
WebRTC_W_and_N,120,174805
VizCompositorTh,120,149617
VizCompositorTh,120,152332
VizCompositorTh,120,146310
cosmic-comp,120,1979982
Xwayland,120,95232
kworker/u97:0,120,23555
VizCompositorTh,120,151460
notify-rs debou,120,57661
VizCompositorTh,120,146350
WebRTC_W_and_N,120,159555
VizCompositorTh,120,143175
WebRTC_W_and_N,120,148765
WebRTC_W_and_N,120,149436
chromium,120,221524
kworker/15:1,120,41981
Chrome_ChildIOT,120,372373
kworker/5:3,120,39365
ThreadPoolForeg,120,113127
WebRTC_W_and_N,120,123396
VizCompositorTh,120,122795
WebRTC_W_and_N,120,122375
chromium,120,197388
kworker/5:3,120,33184
Chrome_IOThread,120,66046
Chrome_IOThread,120,25729
Chrome_IOThread,120,70755
chromium,120,199402
gmain,120,104290
NetworkManager,120,222426
kworker/5:3,120,28926
kworker/u98:2,120,38894
kworker/5:3,120,12253
kworker/u98:2,120,41279
NetworkManager,120,407099
gdbus,120,179845
dbus-broker,120,103939
WebRTC_W_and_N,120,162692
VizCompositorTh,120,145188
HangWatcher,120,104279
VizCompositorTh,120,188982
HangWatcher,120,95483
VizCompositorTh,120,171899
Chrome_ChildIOT,120,397091
kworker/11:0,120,17524
kworker/u97:0,120,22202
kcompactd0,120,17083
VizCompositorTh,120,140028
ksoftirqd/16,120,18726
kworker/16:2,120,51949
surface-HDMI-A-,120,51087
cosmic-comp,120,485700
smithay-clipboa,120,42973
smithay-clipboa,120,42332
Xwayland,120,144597
alacritty,120,176578
surface-eDP-1,120,1141917
cosmic-com:cs0,120,189203
